# EXP 1,R/S,Tiempo,Xesperada,Yesperada,Xmedida,Ymedida,Angulos Esperado,Angulo Medido,Error
1,0.7854,2,0,0,0,0,90,94,4
2,0.7854,2,0,0,0,0,90,83,-7
3,0.7854,2,0,0,0,0,90,96,6
4,0.7854,2,0,0,0,0,90,100,10
5,0.7854,2,0,0,0,0,90,88,-2
6,0.7854,2,0,0,0,0,90,104,14
7,0.7854,2,0,0,0,0,90,100,10
8,0.7854,2,0,0,0,0,90,97,7
9,0.7854,2,0,0,0,0,90,98,8
10,0.7854,2,0,0,0,0,90,108,18
11,1.047,1.5,0,0,0,0,90,92,2
12,1.047,1.5,0,0,0,0,90,93,3
13,1.047,1.5,0,0,0,0,90,95,5
14,1.047,1.5,0,0,0,0,90,84,-6
15,1.047,1.5,0,0,0,0,90,102,12
16,1.047,1.5,0,0,0,0,90,101,11
17,1.047,1.5,0,0,0,0,90,85,-5
18,1.047,1.5,0,0,0,0,90,96,6
19,1.047,1.5,0,0,0,0,90,95,5
20,1.047,1.5,0,0,0,0,90,96,6
21,0.3927,4,0,0,0,0,90,94,4
22,0.3927,4,0,0,0,0,90,94,4
23,0.3927,4,0,0,0,0,90,101,11
24,0.3927,4,0,0,0,0,90,101,11
25,0.3927,4,0,0,0,0,90,100,10
26,0.3927,4,0,0,0,0,90,95,5
27,0.3927,4,0,0,0,0,90,100,10
28,0.3927,4,0,0,0,0,90,83,-7
29,0.3927,4,0,0,0,0,90,102,12
30,0.3927,4,0,0,0,0,90,100,10
31,1.57,1,0,0,0,0,-90,-96,-6
32,1.57,1,0,0,0,0,-90,-94,-4
33,1.57,1,0,0,0,0,-90,-96,-6
34,1.57,1,0,0,0,0,-90,-97,-7
35,1.57,1,0,0,0,0,-90,-102,-12
36,1.57,1,0,0,0,0,-90,-100,-10
37,1.57,1,0,0,0,0,-90,-94,-4
38,1.57,1,0,0,0,0,-90,-111,-21
39,1.57,1,0,0,0,0,-90,-87,3
40,1.57,1,0,0,0,0,-90,-95,-5
41,0.448,3.5,0,0,0,0,-90,-101,-11
42,0.448,3.5,0,0,0,0,-90,-103,-13
43,0.448,3.5,0,0,0,0,-90,-100,-10
44,0.448,3.5,0,0,0,0,-90,-98,-8
45,0.448,3.5,0,0,0,0,-90,-102,-12
46,0.448,3.5,0,0,0,0,-90,-101,-11
47,0.448,3.5,0,0,0,0,-90,-103,-13
48,0.448,3.5,0,0,0,0,-90,-103,-13
49,0.448,3.5,0,0,0,0,-90,-102,-12
50,0.448,3.5,0,0,0,0,-90,-94,-4
