# EXP 1,Velocidad,Tiempo,Xesperada,Yesperada,Xmedida,Ymedida
1,0.2,5,1,0,1.065,0.037
2,0.2,5,1,0,1.065,0.045
3,0.2,5,1,0,1.05,0.053
4,0.2,5,1,0,1.045,0.0182
5,0.2,5,1,0,1.055,0.0184
6,0.2,5,1,0,1.07,0
7,0.2,5,1,0,1.055,0.031
8,0.2,5,1,0,1.05,0.03
9,0.2,5,1,0,1.06,0.011
10,0.2,5,1,0,1.073,0.015
11,0.1,10,1,0,1.07,0.003
12,0.1,10,1,0,1.06,-0.006
13,0.1,10,1,0,1.071,0
14,0.1,10,1,0,1.07,-0.009
15,0.1,10,1,0,1.08,0.014
16,0.1,10,1,0,1.07,0.004
17,0.1,10,1,0,1.08,0.009
18,0.1,10,1,0,1.07,0.028
19,0.1,10,1,0,1.08,0.022
20,0.1,10,1,0,1.063,0.018
21,0.3,3.33,1,0,1.05,0.026
22,0.3,3.33,1,0,1.06,0.02
23,0.3,3.33,1,0,1.05,0.022
24,0.3,3.33,1,0,1.055,-0.008
25,0.3,3.33,1,0,1.05,0.009
26,0.3,3.33,1,0,1.06,0.006
27,0.3,3.33,1,0,1.07,0.005
28,0.3,3.33,1,0,1.072,-0.003
29,0.3,3.33,1,0,1.062,-0.008
30,0.3,3.33,1,0,1.07,-0.017
31,0.35,2.857,1,0,1.058,-0.028
32,0.35,2.857,1,0,1.065,-0.005
33,0.35,2.857,1,0,1.06,-0.047
34,0.35,2.857,1,0,1.081,-0.017
35,0.35,2.857,1,0,1.052,0.012
36,0.35,2.857,1,0,1.065,-0.018
37,0.35,2.857,1,0,1.038,-0.008
38,0.35,2.857,1,0,1.03,0.002
39,0.35,2.857,1,0,1.046,0.018
40,0.35,2.857,1,0,1.033,-0.001
41,0.37,2.7,1,0,1.05,-0.018
42,0.37,2.7,1,0,1.05,-0.005
43,0.37,2.7,1,0,1.033,-0.018
44,0.37,2.7,1,0,1.045,0.015
45,0.37,2.7,1,0,1.047,-0.002
46,0.37,2.7,1,0,1.038,-0.016
47,0.37,2.7,1,0,1.035,0.036
48,0.37,2.7,1,0,1.085,0.034
49,0.37,2.7,1,0,1.055,0.05
50,0.37,2.7,1,0,1.052,0.009
