# EXP 1,R/S,Tiempo,Xesperada,Yesperada,Xmedida,Ymedida,Angulos
1,0.5,3,0,0,0,0,182
2,0.5,3,0,0,0,0,173
3,0.5,3,0,0,0,0,180
4,0.5,3,0,0,0,0,175
5,0.5,3,0,0,0,0,177
6,0.5,3,0,0,0,0,180
7,0.5,3,0,0,0,0,187
8,0.5,3,0,0,0,0,188
9,0.5,3,0,0,0,0,186
10,0.5,3,0,0,0,0,186
11,0.25,3,0,0,0,0,91
12,0.25,3,0,0,0,0,92
13,0.25,3,0,0,0,0,93
14,0.25,3,0,0,0,0,92
15,0.25,3,0,0,0,0,94
16,0.25,3,0,0,0,0,93
17,0.25,3,0,0,0,0,94
18,0.25,3,0,0,0,0,94
19,0.25,3,0,0,0,0,95
20,0.25,3,0,0,0,0,94
21,0.2616,0.06,0,0,0,0,45
22,0.2616,0.06,0,0,0,0,46
23,0.2616,0.06,0,0,0,0,46
24,0.2616,0.06,0,0,0,0,47
25,0.2616,0.06,0,0,0,0,44
26,0.2616,0.06,0,0,0,0,45
27,0.2616,0.06,0,0,0,0,44
28,0.2616,0.06,0,0,0,0,47
29,0.2616,0.06,0,0,0,0,46
30,0.2616,0.06,0,0,0,0,46
31,0.4363,2.8,0,0,0,0,76
32,0.1,10,0,0,0,0,77
33,0.1,10,0,0,0,0,90
34,0.1,10,0,0,0,0,77
35,0.1,10,0,0,0,0,78
36,0.1,10,0,0,0,0,79
37,0.1,10,0,0,0,0,80
38,0.1,10,0,0,0,0,78
39,0.1,10,0,0,0,0,77
40,0.1,10,0,0,0,0,80
41,0.349,3,0,0,0,0,64
42,0.349,3,0,0,0,0,65
43,0.349,3,0,0,0,0,66
44,0.349,3,0,0,0,0,66
45,0.349,3,0,0,0,0,65
46,0.349,3,0,0,0,0,60
47,0.349,3,0,0,0,0,65
48,0.349,3,0,0,0,0,64
49,0.349,3,0,0,0,0,67
50,0.349,3,0,0,0,0,66
